GENE	RNAseH-Rep1	RNAseH-Rep2	RNAseH-Rep3	PolyA-Rep3	RZ-Rep1	RZ-Rep2	RZ-Rep3
FBgn0260767		57.8513	73.3748	64.4032	54.7027	56.0697	55.6001	56.5488
FBgn0051262		26.1533	31.3229	25.1271	40.7638	33.8477	38.1389	36.1992
FBgn0260768		40.7243	31.0042	42.979	40.3742	18.8364	20.2626	18.0671
FBgn0037222		0.132479	0	0.339926	0.141574	0.161179	0.15699	0.186441
FBgn0051265		0	0	0	0	0	0	0
FBgn0037224		0.0707214	0.216136	0.14517	0	0	0.0541002	0.0642494
FBgn0051266		0	0	0	0	0.0748763	0	0
FBgn0037225		0.0900431	0.210023	0.092416	0.0734391	0.0730334	0.284899	0.140473
FBgn0051267		0	0	0	0	0.082358	0	0
FBgn0051268		0.0527297	0.107433	0.108239	0.0751328	0	0.121011	0.0479042
FBgn0037227		0.337728	0.430062	0.173314	0.120304	0.136965	0.193766	0
FBgn0051269		0	0	0	0	0	0	0
FBgn0037228		0.725352	0.940455	0.406073	0.469786	0.748781	0.907981	0.838692
FBgn0037229		0.337283	0.114532	0.11539	0.0400486	0.182378	0.301016	0.204278
FBgn0003676		383.195	347.094	360.946	381.016	406.142	393.652	412.213
FBgn0035993		31.8094	35.6333	38.5188	37.3072	38.394	39.0519	38.8218
FBgn0038090		0	0	0	0	0	0	0
FBgn0035995		32.039	28.9488	30.1788	30.4232	29.6308	29.1982	29.8812
FBgn0035996		13.344	14.0018	14.6713	20.457	15.5796	18.1757	14.4858
FBgn0032010		0.362784	0.490646	0.376371	0.464159	0.313037	0.0640323	0.20334
FBgn0038092		0.0511448	0	0	0	0	0	0
FBgn0035997		85.7754	81.4986	86.6471	99.2393	72.718	74.0688	71.6365
FBgn0035998		40.3155	43.4782	44.0507	54.8468	52.6373	60.4714	60.4652
FBgn0035999		25.1042	24.0698	26.5565	34.2607	26.9245	29.5184	27.4738
